Date,Open,High,Low,Close,Adj Close,Volume
05-10-2023,80.699997,81.050003,76.25,77.099998,77.099998,134330537
06-10-2023,77.449997,78.25,76.050003,76.75,76.75,66525708
09-10-2023,76,76,72.849998,73.349998,73.349998,73864732
10-10-2023,74.050003,75.599998,74,75.25,75.25,45297302
11-10-2023,75.800003,77.849998,75.5,76.050003,76.050003,59870131
12-10-2023,76.699997,77.199997,75.349998,75.75,75.75,28874895
13-10-2023,75.099998,75.75,74.599998,75.199997,75.199997,33454518
16-10-2023,75.150002,76.099998,74.800003,75.25,75.25,31664409
17-10-2023,75.75,76.199997,75.25,75.800003,75.800003,25571754
18-10-2023,76.75,77.25,74.050003,74.199997,74.199997,79079912
19-10-2023,73.900002,75.099998,73.400002,74,74,40169623
20-10-2023,73.900002,74.599998,71.849998,72.25,72.25,47312964
23-10-2023,72.5,73.699997,69.099998,69.650002,69.650002,64052095
25-10-2023,70,71.400002,68.550003,69.5,69.5,56157100
26-10-2023,69.349998,70.300003,67.349998,69.849998,69.849998,96629399
27-10-2023,71.800003,74.150002,70.900002,73.150002,73.150002,97582651
30-10-2023,73.550003,73.650002,72.349998,73.150002,73.150002,45878932
31-10-2023,73.400002,74.25,72.800003,73,73,44305596
01-11-2023,73.099998,74.349998,72.650002,72.900002,72.900002,39344724
02-11-2023,73.849998,75.400002,73.5,74.25,74.25,44074000
03-11-2023,74.849998,75.400002,74.5,74.75,74.75,33999204
06-11-2023,75.300003,75.5,74.75,74.900002,74.900002,22781133
07-11-2023,75.199997,76.75,74.550003,76.150002,76.150002,45263683
08-11-2023,76.5,76.849998,75.5,75.800003,75.800003,28074631
09-11-2023,76,76.550003,75.599998,76,76,25406922
10-11-2023,75.900002,76.400002,75.5,76.25,76.25,19806827
13-11-2023,76.300003,79.449997,76.099998,79.099998,79.099998,61511606
15-11-2023,80.099998,80.800003,78.75,78.949997,78.949997,56335226
16-11-2023,79.199997,80.300003,79.099998,79.599998,79.599998,36649274
17-11-2023,77.949997,78.400002,76.25,77.900002,77.900002,52680056
20-11-2023,78.199997,79.5,77.800003,78.400002,78.400002,29074574
21-11-2023,78.800003,79.349998,77.5,78.050003,78.050003,23914987
22-11-2023,78,78.300003,76,76.349998,76.349998,35533376
23-11-2023,76.75,77.150002,76.300003,76.550003,76.550003,15646955
24-11-2023,76.75,76.949997,75.75,75.949997,75.949997,17112957
28-11-2023,75.949997,79.599998,75.599998,78.550003,78.550003,43966316
29-11-2023,78.949997,79.300003,78.050003,79.150002,79.150002,38404432
30-11-2023,79.150002,79.849998,77.25,77.599998,77.599998,57665048
01-12-2023,78.099998,81.5,78.050003,80.699997,80.699997,84958693
